도서명,저자,출판사,장르(KDC),1순위_장르보정점수,2순위_지역특화점수,3순위_AI체급점수,🔥최종종합점수,AI분석소평
(5천년 역사가 단숨에 이해되는) 최소한의 한국사 ,최태성 지음,프런트페이지,900번대,55.4,32.9,75.4,56.6,전국구 베스트셀러 작가(최태성 지음)의 신작입니다. 출판 이력이 있는 출판사(프런트페이지)입니다.
음악소설집 ,"지은이: 김애란,편혜영",Franz(프란츠),800번대,33.5,49.5,79.2,56.6,전국구 베스트셀러 작가(김애란)의 신작입니다. 출판 이력이 있는 출판사(Franz(프란츠))입니다.
"다시, 역사의 쓸모 :합리적이고 품위 있는 선택을 위한 20가지 지혜 ",최태성 지음,프런트페이지,900번대,55.4,32.9,75.4,56.6,전국구 베스트셀러 작가(최태성 지음)의 신작입니다. 출판 이력이 있는 출판사(프런트페이지)입니다.
최소한의 삼국지 :최태성의 삼국지 고전 특강 ,최태성 지음,프런트페이지,900번대,55.4,32.9,75.4,56.6,전국구 베스트셀러 작가(최태성 지음)의 신작입니다. 출판 이력이 있는 출판사(프런트페이지)입니다.
멍멍말 통역사 김야옹 ,글: 강효미 ;그림: 윤태규,아울북(북이십일 아울북),800번대,33.5,49.5,79.3,56.6,전국구 베스트셀러 작가(강효미)의 신작입니다. 대표 출판사(아울북(북이십일 아울북))의 수매 신뢰도가 높습니다.
"출동, 고양이 요원 캣스코",박주혜 글 ;홍그림 그림,김영사,800번대,33.5,49.5,79.3,56.6,전국구 베스트셀러 작가(박주혜 홍그림 그림)의 신작입니다. 대표 출판사(김영사)의 수매 신뢰도가 높습니다.
프로이트의 감정수업 :보이지 않는 무의식의 세계와 마주하기 ,강이안 지음,라이프해킹,100번대,62.5,32.6,70.0,56.5,대출 실적이 있는 저자(강이안 지음)입니다. 출판 이력이 있는 출판사(라이프해킹)입니다.
1Q84 :무라카미 하루키 장편소설,지은이: 무라카미 하루키 ;옮긴이: 양윤옥,문학동네,800번대,33.5,49.5,78.9,56.5,전국구 베스트셀러 작가(무라카미 하루키)의 신작입니다. 대표 출판사(문학동네)의 수매 신뢰도가 높습니다.
내 마음 ㅅㅅㅎ :김지영 그림책 ,글·그림: 김지영,사계절(사계절출판사),800번대,33.5,49.5,79.1,56.5,전국구 베스트셀러 작가(글·김지영)의 신작입니다. 대표 출판사(사계절(사계절출판사))의 수매 신뢰도가 높습니다.
엄마가 유령이 되었어! ,노부미 글·그림 ;이기웅 옮김,길벗어린이,800번대,33.5,49.5,78.9,56.5,대출 실적이 있는 저자(노부미 글·이기웅 옮김)입니다. 출판 이력이 있는 출판사(길벗어린이)입니다.
빛이 이끄는 곳으로 =백희성 장편소설 /La ou la lumiere me conduit ,지은이: 백희성,책읽어주는남자,800번대,33.5,49.5,78.9,56.5,대출 실적이 있는 저자(백희성)입니다. 출판 이력이 있는 출판사(책읽어주는남자)입니다.
반려 요괴,김영주 글 ;밤코 그림,위즈덤하우스,800번대,33.5,49.5,79.0,56.5,전국구 베스트셀러 작가(김영주 밤코 그림)의 신작입니다. 대표 출판사(위즈덤하우스)의 수매 신뢰도가 높습니다.
"(나이 들수록 지혜, 행복, 가족, 관계, 내면이 충만해지는) 마흔의 기술 ",이호선 지음,오아시스,100번대,62.5,32.6,69.8,56.5,대출 실적이 있는 저자(이호선 지음)입니다. 출판 이력이 있는 출판사(오아시스)입니다.
도시와 그 불확실한 벽 :무라카미 하루키 장편소설 ,지은이: 무라카미 하루키 ;옮긴이: 홍은주,문학동네,800번대,33.5,49.5,78.9,56.5,전국구 베스트셀러 작가(무라카미 하루키)의 신작입니다. 대표 출판사(문학동네)의 수매 신뢰도가 높습니다.
사고뭉치 소방관 오케이,강효미 글 ;김경희 그림,길벗스쿨,800번대,33.5,49.5,79.1,56.5,전국구 베스트셀러 작가(강효미 김경희 그림)의 신작입니다. 대표 출판사(길벗스쿨)의 수매 신뢰도가 높습니다.
수상한 이웃집 시노다,도미야스 요코 글 ;송지현 옮김,다산북스,800번대,33.5,49.5,78.7,56.4,전국구 베스트셀러 작가(도미야스 요코 송지현 옮김)의 신작입니다. 대표 출판사(다산북스)의 수매 신뢰도가 높습니다.
잘 벌고 잘 쓰고 잘 살고 싶어서 돈 공부를 시작했다 ,지은이: 래빗해빛 ;일러스트: 김라미,토네이도미디어그룹,300번대,70.4,38.5,59.2,56.4,대출 실적이 있는 저자(래빗해빛)입니다. 출판 이력이 있는 출판사(토네이도미디어그룹)입니다.
찾기 대장 김지우 ,장희정 글 ;김무연 그림,비룡소,800번대,33.5,49.5,78.7,56.4,전국구 베스트셀러 작가(장희정 김무연 그림)의 신작입니다. 대표 출판사(비룡소)의 수매 신뢰도가 높습니다.
수상한 이웃집 시노다,도미야스 요코 글 ;송지현 옮김,다산북스,800번대,33.5,49.5,78.7,56.4,전국구 베스트셀러 작가(도미야스 요코 송지현 옮김)의 신작입니다. 대표 출판사(다산북스)의 수매 신뢰도가 높습니다.
잘못된 장소 잘못된 시간 ,질리언 매캘리스터 지음 ;이경 옮김,시옷북스,800번대,33.5,49.5,78.7,56.4,대출 실적이 있는 저자(질리언 매캘리스터 지음)입니다. 출판 이력이 있는 출판사(시옷북스)입니다.
"기록이라는 세계 :필사부터 감정노트, 탐구일지까지 나라는 세계를 확장시키는 기록 습관 ",리니 지음,길벗,800번대,33.5,49.5,78.4,56.3,대출 실적이 있는 저자(리니 지음)입니다. 출판 이력이 있는 출판사(길벗)입니다.
나만 그런 게 아니었어 ,요시타케 신스케 지음 ;이소담 옮김,김영사,800번대,33.5,49.5,78.4,56.3,전국구 베스트셀러 작가(요시타케 신스케 지음)의 신작입니다. 대표 출판사(김영사)의 수매 신뢰도가 높습니다.
